Province,Division,District,Indicator,Area Type,Total,Male,Female
Balochistan,Kalat Division,Kalat,Working Age Population,Rural,130000,70000,59000
Balochistan,Kalat Division,Kalat,Working Age Population,Urban,28000,17000,12000
Balochistan,Kalat Division,Kalat,Labour Force,Rural,52600,49600,3100
Balochistan,Kalat Division,Kalat,Labour Force,Urban,10800,10600,300
Balochistan,Kalat Division,Kalat,Employed,Rural,49700,47400,2300
Balochistan,Kalat Division,Kalat,Employed,Urban,10000,10000,-
Balochistan,Kalat Division,Kalat,Unemployed,Rural,3000,2200,800
Balochistan,Kalat Division,Kalat,Unemployed,Urban,800,600,300
Balochistan,Kalat Division,Kalat,Refined Participation Rate (%),Rural,40.6,70.7,5.1
Balochistan,Kalat Division,Kalat,Refined Participation Rate (%),Urban,38.3,63.6,2.4
Balochistan,Kalat Division,Kalat,Unemployment Rate (%),Rural,5.7,4.4,25.7
Balochistan,Kalat Division,Kalat,Unemployment Rate (%),Urban,7.8,5.3,100
Balochistan,Kalat Division,Kalat,Employment to Population Ratio (%),Rural,38.3,67.6,3.8
Balochistan,Kalat Division,Kalat,Employment to Population Ratio (%),Urban,35.3,60.2,-
Balochistan,Kalat Division,Kalat,Agriculture Employee (%),Rural,65.8,65.8,67.1
Balochistan,Kalat Division,Kalat,Agriculture Employee (%),Urban,24.9,24.9,-
Balochistan,Kalat Division,Kalat,Industry Employee (%),Rural,13.2,12.5,26.8
Balochistan,Kalat Division,Kalat,Industry Employee (%),Urban,19.7,19.7,-
Balochistan,Kalat Division,Kalat,Services Employee (%),Rural,21,21.7,6.1
Balochistan,Kalat Division,Kalat,Services Employee (%),Urban,55.4,55.4,-
Balochistan,Kalat Division,Kalat,Formal Activity (%),Rural,28.6,29.3,14.8
Balochistan,Kalat Division,Kalat,Formal Activity (%),Urban,34.7,34.7,-
Balochistan,Kalat Division,Kalat,Informal Activity (%),Rural,71.4,70.7,85.2
Balochistan,Kalat Division,Kalat,Informal Activity (%),Urban,65.3,65.3,-
Balochistan,Kalat Division,Kalat,Employers (%),All Areas,0.3,0.3,-
Balochistan,Kalat Division,Kalat,Own Account Workers (%),All Areas,37,37.7,20.7
Balochistan,Kalat Division,Kalat,Contributing Family  Workers (%),All Areas,21.8,20.8,46.4
Balochistan,Kalat Division,Kalat,Employees (%),All Areas,40.9,41.2,32.9
Balochistan,Kalat Division,Kalat,Literacy Rate (%),Rural,34.3,49.1,16.8
Balochistan,Kalat Division,Kalat,Literacy Rate (%),Urban,58.7,73.4,37.8
Balochistan,Kalat Division,Kalat,Underemployment Rate (%),Rural,8.9,8.2,22.4
Balochistan,Kalat Division,Kalat,Underemployment Rate (%),Urban,1.7,1.7,-
Balochistan,Kalat Division,Kalat,Mean Hours Work/Per Week,Rural,48.6,49.3,34.1
Balochistan,Kalat Division,Kalat,Mean Hours Work/Per Week,Urban,54.4,54.4,-
Balochistan,Kalat Division,Kalat,Total Population,Rural,339665,175522,164142
Balochistan,Kalat Division,Kalat,Total Population,Urban,72393,36284,36109
Balochistan,Kalat Division,Khuzdar,Working Age Population,Rural,364000,195000,169000
Balochistan,Kalat Division,Khuzdar,Working Age Population,Urban,204000,109000,95000
Balochistan,Kalat Division,Khuzdar,Labour Force,Rural,138800,134700,4100
Balochistan,Kalat Division,Khuzdar,Labour Force,Urban,76000,69100,6900
Balochistan,Kalat Division,Khuzdar,Employed,Rural,132400,128700,3700
Balochistan,Kalat Division,Khuzdar,Employed,Urban,70400,65400,5000
Balochistan,Kalat Division,Khuzdar,Unemployed,Rural,6400,6000,400
Balochistan,Kalat Division,Khuzdar,Unemployed,Urban,5600,3600,2000
Balochistan,Kalat Division,Khuzdar,Refined Participation Rate (%),Rural,38.1,69,2.5
Balochistan,Kalat Division,Khuzdar,Refined Participation Rate (%),Urban,37.3,63.5,7.3
Balochistan,Kalat Division,Khuzdar,Unemployment Rate (%),Rural,4.6,4.5,9.8
Balochistan,Kalat Division,Khuzdar,Unemployment Rate (%),Urban,7.4,5.3,28.5
Balochistan,Kalat Division,Khuzdar,Employment to Population Ratio (%),Rural,36.3,65.9,2.2
Balochistan,Kalat Division,Khuzdar,Employment to Population Ratio (%),Urban,34.6,60.2,5.2
Balochistan,Kalat Division,Khuzdar,Agriculture Employee (%),Rural,60.7,60.1,84.2
Balochistan,Kalat Division,Khuzdar,Agriculture Employee (%),Urban,15.7,15.1,23.5
Balochistan,Kalat Division,Khuzdar,Industry Employee (%),Rural,15.2,15.3,9.1
Balochistan,Kalat Division,Khuzdar,Industry Employee (%),Urban,23.5,24.1,16
Balochistan,Kalat Division,Khuzdar,Services Employee (%),Rural,24.1,24.6,6.8
Balochistan,Kalat Division,Khuzdar,Services Employee (%),Urban,60.7,60.8,60.5
Balochistan,Kalat Division,Khuzdar,Formal Activity (%),Rural,17.6,17.3,42.8
Balochistan,Kalat Division,Khuzdar,Formal Activity (%),Urban,20.3,18.2,51
Balochistan,Kalat Division,Khuzdar,Informal Activity (%),Rural,82.4,82.7,57.2
Balochistan,Kalat Division,Khuzdar,Informal Activity (%),Urban,79.7,81.8,49
Balochistan,Kalat Division,Khuzdar,Employers (%),All Areas,0.5,0.6,-
Balochistan,Kalat Division,Khuzdar,Own Account Workers (%),All Areas,43.4,45.3,1.1
Balochistan,Kalat Division,Khuzdar,Contributing Family  Workers (%),All Areas,13.8,12.2,49.5
Balochistan,Kalat Division,Khuzdar,Employees (%),All Areas,42.3,41.9,49.3
